index,Spielzeit,Datum,Stück,Autor,Regie,Musik,Bühnenbild,Kostüme,Choreographie,Ortsvermerk,Aufführungsvermerk,SpeziellerAnlass,id,Tag,Nr_Spielzeit,DuplicateDate,Nr_Stück,Neujahr
391,1953_1954,09/10/1953,Bei Anruf - Mord,"Knott, Frederick","Hirschfeld, Kurt",0,"Meyer, Hannes",0,0,Grosse Bühne,0,0,1953_195409/10/1953Bei Anruf - Mord,1953-09-10,16,False,4,False
392,1953_1954,10/01/1953,Undine,"Giraudoux, Jean","Wälterlin, Oskar","Mersson, Boris","Otto, Teo",0,0,Grosse Bühne,0,0,1953_195410/01/1953Undine,1953-10-01,16,False,5,False
393,1953_1954,10/09/1953,Mein Mann hat einen Komplex,"Luc, J. B.","Lederer, Franz",0,0,0,0,Theater am Central,0,0,1953_195410/09/1953Mein Mann hat einen Komplex,1953-10-09,16,False,6,False
394,1953_1954,10/17/1953,Das Schloss,"Kafka, Franz; Brod, Max","Lindtberg, Leopold","Langnese, Rolf","Otto, Teo",0,"Mol, Albert",Grosse Bühne,0,0,1953_195410/17/1953Das Schloss,1953-10-17,16,False,7,False
395,1953_1954,11/05/1953,Die Jungfrau von Orléans,"Schiller, Friedrich von","Lindtberg, Leopold","Langnese, Rolf","Otto, Teo",0,0,Grosse Bühne,0,0,1953_195411/05/1953Die Jungfrau von Orléans,1953-11-05,16,False,8,False
396,1953_1954,11/15/1953,Marguerite: 3,"Schwiefert, Fritz","Dehler, Franz",0,"Ammann, Paul",0,0,Theater am Central,0,0,1953_195411/15/1953Marguerite: 3,1953-11-15,16,False,9,False
397,1953_1954,11/19/1953,Helden,"Shaw, George Bernard","Kraut, Werner",0,"Meyer, Hannes",0,0,Grosse Bühne,0,0,1953_195411/19/1953Helden,1953-11-19,16,False,10,False
398,1953_1954,11/27/1953,Das grüne Blut,"Giovaninetti, Silvio","Wälterlin, Oskar",0,"Meyer, Hannes",0,0,Grosse Bühne,Uraufführung,0,1953_195411/27/1953Das grüne Blut,1953-11-27,16,False,11,False
399,1953_1954,12/04/1953,Die Zeit des Glücks,"Achard, Marcel","Siedel, Erhard",0,"Krumenacher, Fritz",0,0,Theater am Central,0,0,1953_195412/04/1953Die Zeit des Glücks,1953-12-04,16,False,12,False
400,1953_1954,12/10/1953,Die Geschichte von Tobias und Sara,"Claudel, Paul","Streibing, Karlheinz","Tass, Erik","Sulzbachner, Max",0,"Macke, Hans",Grosse Bühne,Erstaufführung,0,1953_195412/10/1953Die Geschichte von Tobias und Sara,1953-12-10,16,False,13,False
401,1953_1954,12/31/1953,Lumpazivagabundus oder Das liederliche Kleeblatt,"Nestroy, Johann Nepomuk","Lindtberg, Leopold","Müller, Adolf","Otto, Teo",0,"Bamert, Herta",Grosse Bühne,0,0,1953_195412/31/1953Lumpazivagabundus oder Das liederliche Kleeblatt,1953-12-31,16,False,14,True
